stimulus_number,stim_fn,question,answer_choice_1,answer_choice_2
235,2012-11-0008_235.jpg,question,yes,no
236,2012-11-0010_236.jpg,question,yes,no
237,2012-11-0011_237.jpg,question,yes,no
238,2012-11-0012_238.jpg,question,yes,no
239,2012-11-0013_239.jpg,question,yes,no
240,2012-11-0014_240.jpg,question,yes,no
241,2012-11-0017_241.jpg,question,yes,no
242,2012-11-0019_242.jpg,question,yes,no
243,2012-11-0020_243.jpg,question,yes,no
244,2012-11-0024_244.jpg,question,yes,no
245,2012-11-0025_245.jpg,question,yes,no
246,2012-11-0026_246.jpg,question,yes,no
247,2012-11-0027_247.jpg,question,yes,no
248,2012-11-0029_248.jpg,question,yes,no
249,2012-11-0030_249.jpg,question,yes,no
250,2012-11-0033_250.jpg,question,yes,no
251,2012-11-0034_251.jpg,question,yes,no
252,2012-11-0035_252.jpg,question,yes,no
253,2012-11-0036_253.jpg,question,yes,no
254,2012-11-0037_254.jpg,question,yes,no
255,2012-11-0038_255.jpg,question,yes,no
256,2012-11-0039_256.jpg,question,yes,no
257,2012-11-0041_257.jpg,question,yes,no
258,2012-11-0043_258.jpg,question,yes,no
259,2012-11-0044_259.jpg,question,yes,no
260,2012-11-0046_260.jpg,question,yes,no
261,2012-11-0047_261.jpg,question,yes,no
262,2012-11-0048_262.jpg,question,yes,no
263,2012-11-0052_263.jpg,question,yes,no
264,2012-11-0053_264.jpg,question,yes,no
265,2012-11-0054_265.jpg,question,yes,no
266,2012-11-0056_266.jpg,question,yes,no
267,2012-11-0057_267.jpg,question,yes,no
268,2012-11-0058_268.jpg,question,yes,no
269,2012-11-0061_269.jpg,question,yes,no
270,2012-11-0062_270.jpg,question,yes,no
271,2012-11-0063_271.jpg,question,yes,no
272,2012-11-0064_272.jpg,question,yes,no
273,2012-11-0065_273.jpg,question,yes,no
274,2012-11-0067_274.jpg,question,yes,no
275,2012-11-0071_275.jpg,question,yes,no
276,2012-11-0075_276.jpg,question,yes,no
277,2012-11-0076_277.jpg,question,yes,no
278,2012-11-0081_278.jpg,question,yes,no
279,2012-11-0084_279.jpg,question,yes,no
280,2012-11-0085_280.jpg,question,yes,no
281,2012-11-0086_281.jpg,question,yes,no
282,2012-11-0087_282.jpg,question,yes,no
283,2012-11-0091_283.jpg,question,yes,no
284,2012-11-0092_284.jpg,question,yes,no
285,2012-11-0093_285.jpg,question,yes,no
286,2012-11-0094_286.jpg,question,yes,no
287,2012-11-0095_287.jpg,question,yes,no
288,2012-11-0096_288.jpg,question,yes,no
289,2012-11-0098_289.jpg,question,yes,no
290,2012-11-0101_290.jpg,question,yes,no
291,2012-11-0102_291.jpg,question,yes,no
292,2012-11-0103_292.jpg,question,yes,no
293,2012-11-0105_293.jpg,question,yes,no
294,2012-11-0110_294.jpg,question,yes,no
295,2012-11-0111_295.jpg,question,yes,no
296,2012-11-0114_296.jpg,question,yes,no
297,2012-12-0000_297.jpg,question,yes,no
298,2012-12-0001_298.jpg,question,yes,no
299,2012-12-0003_299.jpg,question,yes,no
300,2012-12-0007_300.jpg,question,yes,no
301,2012-12-0010_301.jpg,question,yes,no
302,2012-12-0013_302.jpg,question,yes,no
303,2012-12-0014_303.jpg,question,yes,no
304,2012-12-0017_304.jpg,question,yes,no
305,2012-12-0018_305.jpg,question,yes,no
306,2012-12-0020_306.jpg,question,yes,no
307,2012-12-0021_307.jpg,question,yes,no
308,2012-12-0026_308.jpg,question,yes,no
309,2012-12-0027_309.jpg,question,yes,no
310,2012-12-0031_310.jpg,question,yes,no
